pair,dimension,verdict,justification
A-B,information_meaning,NP,"overlapping task.structure but different operational definitions (robot task plan vs human action hierarchy)"
A-B,unit_of_observation,NP,"operation/event/frame vs 3-second clip"
A-B,measurement_encoding,NP,"point cloud + robot logs + user commands vs RGB video + manual labels"
A-B,spatial_reference,NP,"BIM + robot base frames vs not reported"
A-B,temporal_reference,NP,"event time + control cycle vs clip index; no common alignment"
A-B,identity_relations,NP,"typed worker-robot relations vs no robot and no relations"
A-B,task_context,NP,"drywall lab mock-up vs scaffolding"
A-B,provenance_quality,NP,"system-logged + computed vs manually annotated"
A-B,governance,NP,"on request vs not reported"
B-C,information_meaning,NP,"different referents (task.structure vs human.action/intent); no shared construct"
B-C,unit_of_observation,NP,"3-second clip vs gesture segment"
B-C,measurement_encoding,NP,"RGB video vs inertial (21 channels)"
B-C,spatial_reference,NP,"not reported vs not reported"
B-C,temporal_reference,NP,"clip index vs 20 Hz sample index"
B-C,identity_relations,NP,"no shared participants"
B-C,task_context,NP,"scaffolding vs tower crane"
B-C,provenance_quality,NP,"manually annotated vs system-logged"
B-C,governance,NP,"not reported vs not reported"
A-C,information_meaning,NP,"overlapping human.action but different definitions (installation operation vs gesture command)"
A-C,unit_of_observation,NP,"operation/event vs gesture segment"
A-C,measurement_encoding,NP,"point cloud + logs vs inertial"
A-C,spatial_reference,NP,"BIM + robot base frames vs not reported"
A-C,temporal_reference,NP,"event time + control cycle vs 20 Hz sample index"
A-C,identity_relations,NP,"no shared participants; relations present in A only"
A-C,task_context,NP,"drywall lab mock-up vs tower crane"
A-C,provenance_quality,NP,"system-logged + computed vs system-logged"
A-C,governance,NP,"on request vs not reported"
